# time  Id  DTNHost  true/false
687.0000 M104 10 true
687.0000 M81 10 true
687.0000 M73 10 true
687.0000 M138 10 true
687.0000 M131 10 true
693.0000 M110 14 true
693.0000 M152 14 true
693.0000 M93 14 true
693.0000 M136 14 true
696.0000 M143 0 true
696.0000 M117 0 true
696.0000 M98 0 true
700.0000 M150 11 true
707.0000 M142 8 true
707.0000 M148 8 true
707.0000 M116 8 true
707.0000 M112 8 true
707.0000 M130 8 true
707.0000 M109 4 true
707.0000 M145 4 true
707.0000 M163 4 true
707.0000 M118 4 true
707.0000 M139 4 true
707.0000 M114 4 true
707.0000 M113 4 true
707.0000 M154 4 true
707.0000 M152 4 true
715.0000 M144 19 true
715.0000 M161 19 true
715.0000 M162 19 true
715.0000 M174 19 true
716.0000 M134 12 true
716.0000 M132 12 true
716.0000 M151 12 true
716.0000 M156 12 true
716.0000 M159 12 true
718.0000 M164 17 true
718.0000 M149 17 true
718.0000 M160 17 true
718.0000 M153 17 true
719.0000 M121 18 true
719.0000 M146 18 true
719.0000 M164 18 true
719.0000 M160 18 true
720.0000 M83 9 true
720.0000 M120 9 true
720.0000 M79 9 true
720.0000 M88 9 true
720.0000 M148 9 true
720.0000 M116 9 true
720.0000 M117 9 true
720.0000 M91 9 true
720.0000 M98 9 true
720.0000 M179 9 true
721.0000 M128 1 true
721.0000 M122 1 true
721.0000 M180 1 true
723.0000 M119 16 true
723.0000 M153 16 true
723.0000 M152 16 true
723.0000 M125 16 true
723.0000 M123 16 true
725.0000 M106 2 true
725.0000 M109 2 true
725.0000 M108 2 true
725.0000 M157 2 true
725.0000 M129 2 true
725.0000 M126 2 true
725.0000 M124 2 true
725.0000 M122 2 true
725.0000 M166 2 true
725.0000 M176 2 true
732.0000 M191 3 true
732.0000 M166 3 true
732.0000 M182 3 true
732.0000 M157 3 true
738.0000 M169 6 true
738.0000 M154 6 true
738.0000 M151 6 true
738.0000 M177 6 true
738.0000 M158 6 true
738.0000 M156 6 true
745.0000 M183 15 true
745.0000 M152 15 true
745.0000 M155 15 true
745.0000 M173 15 true
745.0000 M195 15 true
747.0000 M190 10 true
747.0000 M194 10 true
747.0000 M187 10 true
747.0000 M188 10 true
747.0000 M172 10 true
750.0000 M142 7 true
750.0000 M189 7 true
750.0000 M156 7 true
750.0000 M209 7 true
750.0000 M199 7 true
750.0000 M201 7 true
752.0000 M171 13 true
752.0000 M95 13 true
752.0000 M64 13 true
752.0000 M207 13 true
753.0000 M155 14 true
753.0000 M171 14 true
753.0000 M210 14 true
760.0000 M193 11 true
760.0000 M167 11 true
760.0000 M188 11 true
760.0000 M208 11 true
760.0000 M215 0 true
760.0000 M214 0 true
760.0000 M187 0 true
760.0000 M179 0 true
760.0000 M178 0 true
760.0000 M200 0 true
767.0000 M170 4 true
767.0000 M185 4 true
767.0000 M186 4 true
767.0000 M182 4 true
767.0000 M205 4 true
768.0000 M145 5 true
768.0000 M147 5 true
768.0000 M185 5 true
768.0000 M186 5 true
768.0000 M154 5 true
768.0000 M170 5 true
768.0000 M168 5 true
768.0000 M165 5 true
768.0000 M212 5 true
775.0000 M196 19 true
775.0000 M217 19 true
775.0000 M219 19 true
775.0000 M175 19 true
775.0000 M208 19 true
776.0000 M216 12 true
776.0000 M207 12 true
776.0000 M199 12 true
779.0000 M233 18 true
779.0000 M218 18 true
779.0000 M222 18 true
779.0000 M220 18 true
779.0000 M229 18 true
779.0000 M197 18 true
779.0000 M226 18 true
781.0000 M215 1 true
781.0000 M211 1 true
781.0000 M223 1 true
781.0000 M224 1 true
781.0000 M202 1 true
786.0000 M192 9 true
786.0000 M234 9 true
786.0000 M215 9 true
786.0000 M181 9 true
786.0000 M204 9 true
786.0000 M203 9 true
786.0000 M206 9 true
786.0000 M200 9 true
792.0000 M235 3 true
792.0000 M213 3 true
792.0000 M198 3 true
792.0000 M238 16 true
792.0000 M236 16 true
792.0000 M225 16 true
792.0000 M218 16 true
792.0000 M183 16 true
792.0000 M205 16 true
792.0000 M244 16 true
793.0000 M218 17 true
793.0000 M244 17 true
793.0000 M220 17 true
793.0000 M225 17 true
798.0000 M192 8 true
798.0000 M234 8 true
798.0000 M230 8 true
798.0000 M255 8 true
798.0000 M184 8 true
798.0000 M189 8 true
798.0000 M181 8 true
798.0000 M209 8 true
798.0000 M201 8 true
798.0000 M230 6 true
798.0000 M254 6 true
798.0000 M221 6 true
798.0000 M209 6 true
798.0000 M248 6 true
798.0000 M249 6 true
798.0000 M226 6 true
798.0000 M227 6 true
798.0000 M201 6 true
798.0000 M199 6 true
805.0000 M260 15 true
805.0000 M231 15 true
805.0000 M238 15 true
805.0000 M236 15 true
805.0000 M237 15 true
805.0000 M246 15 true
807.0000 M253 10 true
807.0000 M256 10 true
807.0000 M240 10 true
807.0000 M241 10 true
807.0000 M208 10 true
807.0000 M243 10 true
813.0000 M232 14 true
813.0000 M231 14 true
813.0000 M236 14 true
813.0000 M237 14 true
813.0000 M265 14 true
813.0000 M271 14 true
813.0000 M260 14 true
813.0000 M216 14 true
813.0000 M242 14 true
813.0000 M247 14 true
814.0000 M230 7 true
814.0000 M259 7 true
814.0000 M249 7 true
818.0000 M216 13 true
818.0000 M236 13 true
818.0000 M237 13 true
818.0000 M265 13 true
818.0000 M228 13 true
822.0000 M277 0 true
822.0000 M278 0 true
822.0000 M273 0 true
822.0000 M240 0 true
827.0000 M276 4 true
827.0000 M235 4 true
827.0000 M254 4 true
827.0000 M238 4 true
827.0000 M268 4 true
835.0000 M272 19 true
835.0000 M239 19 true
835.0000 M269 19 true
835.0000 M253 19 true
835.0000 M250 19 true
835.0000 M257 19 true
835.0000 M283 19 true
835.0000 M288 19 true
835.0000 M241 19 true
836.0000 M255 12 true
836.0000 M236 12 true
836.0000 M237 12 true
836.0000 M265 12 true
836.0000 M287 12 true
836.0000 M293 12 true
836.0000 M245 12 true
839.0000 M257 18 true
839.0000 M269 18 true
839.0000 M283 18 true
839.0000 M244 18 true
839.0000 M290 18 true
846.0000 M278 9 true
846.0000 M273 9 true
848.0000 M253 11 true
848.0000 M256 11 true
848.0000 M236 11 true
848.0000 M307 11 true
852.0000 M252 3 true
852.0000 M286 3 true
852.0000 M270 3 true
854.0000 M277 1 true
854.0000 M270 1 true
855.0000 M276 16 true
855.0000 M268 16 true
855.0000 M266 16 true
855.0000 M284 16 true
858.0000 M191 2 true
858.0000 M277 2 true
858.0000 M263 2 true
858.0000 M270 2 true
858.0000 M198 2 true
858.0000 M252 2 true
858.0000 M251 2 true
858.0000 M286 2 true
858.0000 M285 2 true
858.0000 M311 6 true
858.0000 M281 6 true
858.0000 M317 6 true
858.0000 M262 6 true
859.0000 M279 5 true
859.0000 M280 5 true
859.0000 M267 5 true
859.0000 M264 5 true
859.0000 M297 5 true
859.0000 M254 5 true
859.0000 M258 5 true
859.0000 M317 5 true
859.0000 M315 5 true
859.0000 M291 5 true
859.0000 M308 5 true
861.0000 M299 17 true
861.0000 M283 17 true
861.0000 M261 17 true
863.0000 M273 8 true
863.0000 M275 8 true
863.0000 M287 8 true
863.0000 M320 8 true
863.0000 M309 8 true
865.0000 M294 15 true
865.0000 M274 15 true
865.0000 M282 15 true
865.0000 M313 15 true
865.0000 M268 15 true
865.0000 M266 15 true
865.0000 M289 15 true
865.0000 M271 15 true
867.0000 M278 10 true
867.0000 M324 10 true
867.0000 M283 10 true
867.0000 M307 10 true
867.0000 M306 10 true
867.0000 M305 10 true
873.0000 M282 14 true
873.0000 M325 14 true
873.0000 M294 14 true
873.0000 M300 14 true
